submission_id,submitted_at,enumerator_id,site_id,province,territory,beneficiary_uid,hh_size,sex_head,age_head,item_kit_type,qty,distribution_date
SUB0040,2025-06-22,EN005,SITE_GOM,North Kivu,Goma,BEN0040,5,Male,66,NFI_KIT_B,1,2025-06-22
SUB0041,2025-04-28,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0041,8,Male,23,NFI_KIT_B,1,2025-04-28
SUB0042,2025-01-05,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0042,10,Female,54,NFI_KIT_B,1,2025-01-05
SUB0043,2025-04-01,EN003,SITE_GOM,North Kivu,Goma,BEN0043,5,Female,24,NFI_KIT_A,1,2025-04-01
SUB0044,2025-06-05,EN003,SITE_MAS,North Kivu,Masisi,BEN0044,6,Male,29,NFI_KIT_A,1,2025-06-05
SUB0045,2025-05-11,EN003,SITE_MAS,North Kivu,Masisi,BEN0045,10,Male,58,NFI_KIT_A,1,2025-05-11
SUB0046,2025-05-03,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0046,2,Female,35,NFI_KIT_A,1,2025-05-03
SUB0047,2025-06-10,EN004,SITE_MAS,North Kivu,Masisi,BEN0047,5,Male,22,NFI_KIT_A,1,2025-06-10
SUB0048,2025-02-09,EN001,SITE_MAS,North Kivu,Masisi,BEN0048,1,Female,58,NFI_KIT_B,1,2025-02-09
SUB0049,2025-02-08,EN005,SITE_GOM,North Kivu,Goma,BEN0049,2,Male,65,NFI_KIT_A,1,2025-02-08
SUB0050,2025-02-10,EN004,SITE_MAS,North Kivu,Masisi,BEN0050,2,Male,64,NFI_KIT_B,1,2025-02-10
SUB0051,2025-04-09,EN005,SITE_MAS,North Kivu,Masisi,BEN0051,10,Male,64,NFI_KIT_B,1,2025-04-09
SUB0052,2025-05-09,EN005,SITE_GOM,North Kivu,Goma,BEN0052,3,Male,57,NFI_KIT_A,1,2025-05-09
SUB0053,2025-04-02,EN003,SITE_GOM,North Kivu,Goma,BEN0053,8,Male,57,NFI_KIT_A,1,2025-04-02
SUB0054,2025-01-15,EN001,SITE_MAS,North Kivu,Masisi,BEN0054,5,Male,50,NFI_KIT_A,1,2025-01-15
SUB0055,2025-01-20,EN004,SITE_MAS,North Kivu,Masisi,BEN0055,6,Male,21,NFI_KIT_A,1,2025-01-20
SUB0056,2025-02-22,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0056,8,Male,48,NFI_KIT_B,1,2025-02-22
SUB0057,2025-03-15,EN001,SITE_MAS,North Kivu,Masisi,BEN0057,3,Female,28,NFI_KIT_B,1,2025-03-15
SUB0058,2025-01-03,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0058,9,Male,53,NFI_KIT_B,1,2025-01-03
SUB0059,2025-02-18,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0059,4,Female,44,NFI_KIT_B,1,2025-02-18
SUB0060,2025-06-12,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0060,7,Female,42,NFI_KIT_A,1,2025-06-12
SUB0061,2025-01-25,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0061,4,Male,48,NFI_KIT_B,1,2025-01-25
SUB0062,2025-01-28,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0062,5,Male,52,NFI_KIT_A,1,2025-01-28
SUB0063,2025-02-03,EN003,SITE_GOM,North Kivu,Goma,BEN0063,2,Male,26,NFI_KIT_A,1,2025-02-03
SUB0064,2025-02-09,EN001,SITE_MAS,North Kivu,Masisi,BEN0064,8,Male,64,NFI_KIT_A,1,2025-02-09
SUB0065,2025-06-26,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0065,5,Female,67,NFI_KIT_B,1,2025-06-26
SUB0066,2025-03-07,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0066,9,Male,68,NFI_KIT_B,1,2025-03-07
SUB0067,2025-03-16,EN001,SITE_GOM,North Kivu,Goma,BEN0067,3,Female,49,NFI_KIT_B,1,2025-03-16
SUB0068,2025-05-27,EN002,SITE_MAS,North Kivu,Masisi,BEN0068,4,Female,70,NFI_KIT_A,1,2025-05-27
SUB0069,2025-05-27,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0069,3,Female,56,NFI_KIT_A,1,2025-05-27
SUB0070,2025-06-16,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0070,6,Male,26,NFI_KIT_B,1,2025-06-16
SUB0071,2025-04-13,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0071,4,Female,50,NFI_KIT_B,1,2025-04-13
SUB0072,2025-01-18,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0072,7,Male,50,NFI_KIT_A,1,2025-01-18
SUB0073,2025-06-21,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0073,9,Male,31,NFI_KIT_B,1,2025-06-21
SUB0074,2025-01-29,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0074,3,Male,48,NFI_KIT_A,1,2025-01-29
SUB0075,2025-04-14,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0075,6,Male,60,NFI_KIT_B,1,2025-04-14
SUB0076,2025-01-08,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0076,7,Female,53,NFI_KIT_B,1,2025-01-08
SUB0077,2025-05-05,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0077,7,Female,38,NFI_KIT_B,1,2025-05-05
SUB0078,2025-06-23,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0078,4,Male,42,NFI_KIT_B,1,2025-06-23
SUB0079,2025-04-26,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0079,1,Female,38,NFI_KIT_B,1,2025-04-26
SUB0080,2025-05-20,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0080,9,Female,41,NFI_KIT_B,1,2025-05-20
SUB0081,2025-03-04,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0081,3,Male,65,NFI_KIT_A,1,2025-03-04
SUB0082,2025-02-17,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0082,6,Female,69,NFI_KIT_A,1,2025-02-17
SUB0083,2025-03-15,EN005,SITE_MAS,North Kivu,Masisi,BEN0083,3,Female,56,NFI_KIT_A,1,2025-03-15
SUB0084,2025-06-15,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0084,7,Female,42,NFI_KIT_B,1,2025-06-15
SUB0085,2025-01-18,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0085,1,Male,41,NFI_KIT_A,1,2025-01-18
SUB0086,2025-02-08,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0086,3,Female,70,NFI_KIT_B,1,2025-02-08
SUB0087,2025-06-30,EN005,SITE_GOM,North Kivu,Goma,BEN0087,2,Male,55,NFI_KIT_B,1,2025-06-30
SUB0088,2025-06-29,EN001,SITE_MAS,North Kivu,Masisi,BEN0088,3,Female,60,NFI_KIT_A,1,2025-06-29
SUB0089,2025-03-31,EN004,SITE_GOM,North Kivu,Goma,BEN0089,8,Female,53,NFI_KIT_B,1,2025-03-31
SUB0090,2025-05-03,EN002,SITE_GOM,North Kivu,Goma,BEN0090,7,Male,38,NFI_KIT_B,1,2025-05-03
SUB0091,2025-05-27,EN001,SITE_MAS,North Kivu,Masisi,BEN0091,10,Male,28,NFI_KIT_A,1,2025-05-27
SUB0092,2025-02-04,EN001,SITE_MAS,North Kivu,Masisi,BEN0092,2,Male,39,NFI_KIT_A,1,2025-02-04
SUB0093,2025-01-02,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0093,2,Male,20,NFI_KIT_A,1,2025-01-02
SUB0094,2025-01-10,EN001,SITE_MAS,North Kivu,Masisi,BEN0094,5,Male,54,NFI_KIT_B,1,2025-01-10
SUB0095,2025-03-30,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0095,2,Male,19,NFI_KIT_A,1,2025-03-30
SUB0096,2025-04-10,EN003,SITE_MAS,North Kivu,Masisi,BEN0096,10,Male,59,NFI_KIT_B,1,2025-04-10
SUB0097,2025-03-29,EN002,SITE_GOM,North Kivu,Goma,BEN0097,4,Male,29,NFI_KIT_A,1,2025-03-29
SUB0098,2025-02-04,EN005,SITE_MAS,North Kivu,Masisi,BEN0098,6,Female,49,NFI_KIT_B,1,2025-02-04
SUB0099,2025-01-21,EN005,SITE_MAS,North Kivu,Masisi,BEN0099,7,Male,68,NFI_KIT_A,1,2025-01-21
SUB0100,2025-05-05,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0100,8,Female,50,NFI_KIT_A,1,2025-05-05
SUB0101,2025-06-26,EN001,SITE_GOM,North Kivu,Goma,BEN0101,10,Male,57,NFI_KIT_A,1,2025-06-26
SUB0102,2025-03-24,EN002,SITE_GOM,North Kivu,Goma,BEN0102,2,Female,22,NFI_KIT_B,1,2025-03-24
SUB0103,2025-01-06,EN004,SITE_MAS,North Kivu,Masisi,BEN0103,5,Female,40,NFI_KIT_B,1,2025-01-06
SUB0104,2025-05-17,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0104,2,Female,62,NFI_KIT_B,1,2025-05-17
SUB0105,2025-03-23,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0105,1,Male,30,NFI_KIT_B,1,2025-03-23
SUB0106,2025-01-13,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0106,8,Male,30,NFI_KIT_A,1,2025-01-13
SUB0107,2025-01-17,EN001,SITE_GOM,North Kivu,Goma,BEN0107,3,Male,23,NFI_KIT_A,1,2025-01-17
SUB0108,2025-04-08,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0108,3,Male,20,NFI_KIT_B,1,2025-04-08
SUB0109,2025-06-21,EN005,SITE_GOM,North Kivu,Goma,BEN0109,8,Male,44,NFI_KIT_B,1,2025-06-21
SUB0110,2025-03-11,EN002,SITE_GOM,North Kivu,Goma,BEN0110,2,Female,44,NFI_KIT_A,1,2025-03-11
SUB0111,2025-01-05,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0111,2,Female,40,NFI_KIT_A,1,2025-01-05
SUB0112,2025-03-17,EN004,SITE_GOM,North Kivu,Goma,BEN0112,6,Female,33,NFI_KIT_B,1,2025-03-17
SUB0113,2025-03-21,EN001,SITE_MAS,North Kivu,Masisi,BEN0113,4,Female,26,NFI_KIT_B,1,2025-03-21
SUB0114,2025-04-03,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0114,5,Female,21,NFI_KIT_A,1,2025-04-03
SUB0115,2025-02-15,EN004,SITE_MAS,North Kivu,Masisi,BEN0115,2,Female,47,NFI_KIT_B,1,2025-02-15
SUB0116,2025-06-09,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0116,7,Female,65,NFI_KIT_B,1,2025-06-09
SUB0117,2025-02-19,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0117,6,Female,26,NFI_KIT_B,1,2025-02-19
SUB0118,2025-03-29,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0118,4,Male,43,NFI_KIT_A,1,2025-03-29
SUB0119,2025-02-07,EN004,SITE_GOM,North Kivu,Goma,BEN0119,6,Female,41,NFI_KIT_B,1,2025-02-07
SUB0120,2025-01-11,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0120,6,Female,69,NFI_KIT_B,1,2025-01-11
SUB0121,2025-05-12,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0121,4,Male,31,NFI_KIT_A,1,2025-05-12
SUB0122,2025-04-26,EN003,SITE_NYI,North Kivu,Nyiragongo,BEN0122,8,Female,55,NFI_KIT_B,1,2025-04-26
SUB0123,2025-02-28,EN001,SITE_GOM,North Kivu,Goma,BEN0123,2,Female,64,NFI_KIT_A,1,2025-02-28
SUB0124,2025-05-25,EN001,SITE_GOM,North Kivu,Goma,BEN0124,5,Female,26,NFI_KIT_A,1,2025-05-25
SUB0125,2025-01-03,EN002,SITE_MAS,North Kivu,Masisi,BEN0125,4,Male,32,NFI_KIT_A,1,2025-01-03
SUB0126,2025-04-09,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0126,6,Male,69,NFI_KIT_A,1,2025-04-09
SUB0127,2025-05-03,EN005,SITE_GOM,North Kivu,Goma,BEN0127,3,Male,59,NFI_KIT_A,1,2025-05-03
SUB0128,2025-01-30,EN001,SITE_MAS,North Kivu,Masisi,BEN0128,9,Female,19,NFI_KIT_B,1,2025-01-30
SUB0129,2025-01-16,EN003,SITE_GOM,North Kivu,Goma,BEN0129,1,Male,29,NFI_KIT_A,1,2025-01-16
SUB0130,2025-06-16,EN005,SITE_GOM,North Kivu,Goma,BEN0130,10,Female,28,NFI_KIT_A,1,2025-06-16
SUB0131,2025-05-26,EN003,SITE_MAS,North Kivu,Masisi,BEN0131,6,Male,34,NFI_KIT_B,1,2025-05-26
SUB0132,2025-04-29,EN002,SITE_MAS,North Kivu,Masisi,BEN0132,4,Female,56,NFI_KIT_B,1,2025-04-29
SUB0133,2025-01-16,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0133,8,Male,46,NFI_KIT_A,1,2025-01-16
SUB0134,2025-04-03,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0134,10,Female,63,NFI_KIT_A,1,2025-04-03
SUB0135,2025-01-02,EN004,SITE_GOM,North Kivu,Goma,BEN0135,2,Male,65,NFI_KIT_A,1,2025-01-02
SUB0136,2025-02-22,EN001,SITE_GOM,North Kivu,Goma,BEN0136,8,Male,28,NFI_KIT_B,1,2025-02-22
SUB0137,2025-03-07,EN001,SITE_GOM,North Kivu,Goma,BEN0137,3,Male,24,NFI_KIT_A,1,2025-03-07
SUB0138,2025-02-11,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0138,8,Male,53,NFI_KIT_A,1,2025-02-11
SUB0139,2025-06-27,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0139,8,Male,41,NFI_KIT_A,1,2025-06-27
SUB0140,2025-03-01,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0140,8,Female,30,NFI_KIT_B,1,2025-03-01
SUB0141,2025-01-02,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0141,3,Female,59,NFI_KIT_B,1,2025-01-02
SUB0142,2025-05-19,EN005,SITE_GOM,North Kivu,Goma,BEN0142,8,Male,41,NFI_KIT_A,1,2025-05-19
SUB0143,2025-02-16,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0143,9,Male,29,NFI_KIT_A,1,2025-02-16
SUB0144,2025-02-08,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0144,8,Male,20,NFI_KIT_A,1,2025-02-08
SUB0145,2025-06-11,EN001,SITE_GOM,North Kivu,Goma,BEN0145,7,Female,43,NFI_KIT_B,1,2025-06-11
SUB0146,2025-02-16,EN002,SITE_MAS,North Kivu,Masisi,BEN0146,9,Female,53,NFI_KIT_B,1,2025-02-16
SUB0147,2025-03-11,EN002,SITE_MAS,North Kivu,Masisi,BEN0147,4,Female,66,NFI_KIT_B,1,2025-03-11
SUB0148,2025-05-02,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0148,3,Female,26,NFI_KIT_B,1,2025-05-02
SUB0149,2025-05-13,EN005,SITE_GOM,North Kivu,Goma,BEN0149,3,Male,60,NFI_KIT_A,1,2025-05-13
SUB0150,2025-01-22,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0150,6,Female,57,NFI_KIT_B,1,2025-01-22
SUB0151,2025-04-24,EN003,SITE_NYI,North Kivu,Nyiragongo,BEN0151,3,Male,56,NFI_KIT_B,1,2025-04-24
SUB0152,2025-04-09,EN005,SITE_GOM,North Kivu,Goma,BEN0152,1,Male,50,NFI_KIT_B,1,2025-04-09
SUB0153,2025-01-01,EN005,SITE_MAS,North Kivu,Masisi,BEN0153,7,Female,28,NFI_KIT_B,1,2025-01-01
SUB0154,2025-01-06,EN001,SITE_GOM,North Kivu,Goma,BEN0154,1,Female,70,NFI_KIT_B,1,2025-01-06
SUB0155,2025-06-21,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0155,3,Male,34,NFI_KIT_B,1,2025-06-21
SUB0156,2025-01-23,EN005,SITE_GOM,North Kivu,Goma,BEN0156,1,Female,51,NFI_KIT_B,1,2025-01-23
SUB0157,2025-03-12,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0157,1,Female,56,NFI_KIT_B,1,2025-03-12
SUB0158,2025-01-07,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0158,2,Male,69,NFI_KIT_B,1,2025-01-07
SUB0159,2025-05-08,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0159,9,Female,53,NFI_KIT_A,1,2025-05-08
SUB0160,2025-03-13,EN001,SITE_MAS,North Kivu,Masisi,BEN0160,9,Male,26,NFI_KIT_B,1,2025-03-13
SUB0161,2025-01-18,EN003,SITE_GOM,North Kivu,Goma,BEN0161,7,Female,43,NFI_KIT_A,1,2025-01-18
SUB0162,2025-06-02,EN002,SITE_MAS,North Kivu,Masisi,BEN0162,7,Male,48,NFI_KIT_B,1,2025-06-02
SUB0163,2025-03-12,EN005,SITE_RUT,North Kivu,Rutshuru,BEN0163,4,Female,59,NFI_KIT_B,1,2025-03-12
SUB0164,2025-05-08,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0164,2,Male,23,NFI_KIT_B,1,2025-05-08
SUB0165,2025-02-17,EN001,SITE_GOM,North Kivu,Goma,BEN0165,2,Female,64,NFI_KIT_A,1,2025-02-17
SUB0166,2025-01-30,EN001,SITE_MAS,North Kivu,Masisi,BEN0166,1,Male,47,NFI_KIT_B,1,2025-01-30
SUB0167,2025-03-19,EN004,SITE_MAS,North Kivu,Masisi,BEN0167,6,Female,60,NFI_KIT_A,1,2025-03-19
SUB0168,2025-04-15,EN003,SITE_GOM,North Kivu,Goma,BEN0168,10,Female,57,NFI_KIT_B,1,2025-04-15
SUB0169,2025-02-10,EN003,SITE_MAS,North Kivu,Masisi,BEN0169,9,Female,55,NFI_KIT_A,1,2025-02-10
SUB0170,2025-06-07,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0170,2,Male,34,NFI_KIT_B,1,2025-06-07
SUB0171,2025-03-26,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0171,10,Female,68,NFI_KIT_B,1,2025-03-26
SUB0172,2025-06-23,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0172,8,Female,53,NFI_KIT_B,1,2025-06-23
SUB0173,2025-03-11,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0173,10,Female,52,NFI_KIT_A,1,2025-03-11
SUB0174,2025-01-19,EN003,SITE_GOM,North Kivu,Goma,BEN0174,7,Female,39,NFI_KIT_A,1,2025-01-19
SUB0175,2025-05-12,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0175,10,Female,51,NFI_KIT_A,1,2025-05-12
SUB0176,2025-02-18,EN005,SITE_MAS,North Kivu,Masisi,BEN0176,5,Male,46,NFI_KIT_B,1,2025-02-18
SUB0177,2025-05-08,EN004,SITE_GOM,North Kivu,Goma,BEN0177,6,Male,23,NFI_KIT_A,1,2025-05-08
SUB0178,2025-05-08,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0178,6,Male,20,NFI_KIT_B,1,2025-05-08
SUB0179,2025-05-22,EN005,SITE_GOM,North Kivu,Goma,BEN0179,9,Male,55,NFI_KIT_A,1,2025-05-22
SUB0180,2025-05-23,EN003,SITE_NYI,North Kivu,Nyiragongo,BEN0180,2,Female,41,NFI_KIT_A,1,2025-05-23
SUB0181,2025-05-17,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0181,6,Female,26,NFI_KIT_B,1,2025-05-17
SUB0182,2025-03-01,EN005,SITE_GOM,North Kivu,Goma,BEN0182,7,Female,50,NFI_KIT_B,1,2025-03-01
SUB0183,2025-01-06,EN001,SITE_NYI,North Kivu,Nyiragongo,BEN0183,10,Male,44,NFI_KIT_B,1,2025-01-06
SUB0184,2025-02-08,EN002,SITE_GOM,North Kivu,Goma,BEN0184,8,Female,44,NFI_KIT_B,1,2025-02-08
SUB0185,2025-02-09,EN001,SITE_RUT,North Kivu,Rutshuru,BEN0185,7,Female,54,NFI_KIT_B,1,2025-02-09
SUB0186,2025-03-13,EN005,SITE_GOM,North Kivu,Goma,BEN0186,3,Male,52,NFI_KIT_B,1,2025-03-13
SUB0187,2025-03-11,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0187,8,Female,56,NFI_KIT_A,1,2025-03-11
SUB0188,2025-03-11,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0188,4,Female,46,NFI_KIT_A,1,2025-03-11
SUB0189,2025-05-01,EN005,SITE_GOM,North Kivu,Goma,BEN0189,7,Male,45,NFI_KIT_B,1,2025-05-01
SUB0190,2025-04-07,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0190,10,Male,51,NFI_KIT_A,1,2025-04-07
SUB0191,2025-06-23,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0191,8,Female,62,NFI_KIT_A,1,2025-06-23
SUB0192,2025-06-09,EN001,SITE_MAS,North Kivu,Masisi,BEN0192,7,Female,62,NFI_KIT_A,1,2025-06-09
SUB0193,2025-03-07,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0193,6,Female,26,NFI_KIT_B,1,2025-03-07
SUB0194,2025-03-30,EN002,SITE_GOM,North Kivu,Goma,BEN0194,8,Male,53,NFI_KIT_A,1,2025-03-30
SUB0195,2025-02-06,EN005,SITE_NYI,North Kivu,Nyiragongo,BEN0195,5,Female,59,NFI_KIT_B,1,2025-02-06
SUB0196,2025-05-18,EN002,SITE_RUT,North Kivu,Rutshuru,BEN0196,7,Male,44,NFI_KIT_A,1,2025-05-18
SUB0197,2025-03-26,EN003,SITE_RUT,North Kivu,Rutshuru,BEN0197,1,Male,27,NFI_KIT_A,1,2025-03-26
SUB0198,2025-04-26,EN004,SITE_NYI,North Kivu,Nyiragongo,BEN0198,1,Male,43,NFI_KIT_B,1,2025-04-26
SUB0199,2025-06-03,EN004,SITE_RUT,North Kivu,Rutshuru,BEN0199,2,Female,21,NFI_KIT_B,1,2025-06-03
SUB0200,2025-01-08,EN004,SITE_GOM,North Kivu,Goma,BEN0200,3,Male,34,NFI_KIT_B,1,2025-01-08
SUB0201,2025-03-08,EN002,SITE_NYI,North Kivu,Nyiragongo,BEN0201,2,Male,19,NFI_KIT_A,1,2025-03-08
